Name,Gender,Department,Salary,Location,Rating
Ondrea Banfield,Female,Engineering,"$107,790 ",Kaduna,Average
Asia Jerson,Male,Services,,Kaduna,Very Good
Cornie Arstall,Female,Product Management,"$69,970 ",Abuja,Average
Jeane Blaszczak,Female,Engineering,"$44,300 ",Lagos,Poor
Hogan Iles,Female,Accounting,"$114,180 ",Lagos,Very Good
Saundra O'Connel,Male,Human Resources,"$85,330 ",Abuja,Average
Malva Iacovacci,Female,NULL,"$65,130 ",Abuja,Average
Rosaline Wenderott,Female,Sales,"$36,820 ",Abuja,Good
Bobina Teale,Male,Marketing,"$116,890 ",Kaduna,Average
Ruby Cracie,Male,Research and Development,"$78,710 ",Kaduna,Poor
Sissy Muehle,Female,Accounting,"$86,470 ",Kaduna,Average
Lonny Caen,Female,Research and Development,"$35,980 ",Lagos,Good
Itch Tinklin,Female,Support,"$77,110 ",Abuja,Average
Sibyl Dunkirk,Female,Product Management,"$86,570 ",Kaduna,Very Poor
Brodie Grimstead,Male,Business Development,"$117,850 ",Kaduna,Good
Amitie Mawson,Female,Marketing,"$116,500 ",Lagos,Not Rated
Dane Wudeland,Female,Accounting,"$80,030 ",Kaduna,Poor
Oby Sorrel,Female,Support,"$58,940 ",Kaduna,Average
Yvette Bett,Male,Human Resources,"$76,320 ",Lagos,Good
Ianthe Sayre,Male,Support,"$110,730 ",Abuja,Very Good
Jacklyn Andrioletti,Female,Training,"$86,990 ",Abuja,Poor
Eliza Hoggan,Female,Legal,,Lagos,Average
Conchita Soden,Male,Marketing,"$74,410 ",Abuja,Good
Reggie Taylerson,Male,Marketing,"$87,610 ",Lagos,Good
Leslie Cardoso,Female,Business Development,"$103,340 ",Abuja,Good
Milton Lilie,Female,Business Development,"$46,470 ",Kaduna,Average
Aeriell Cuell,Male,Legal,"$108,290 ",Abuja,Very Poor
Anne-corinne Daulby,Male,Engineering,"$78,640 ",Lagos,Good
Lisle Danahar,Undisclosed,Sales,"$75,990 ",Kaduna,Average
Bryana Loyns,Male,Sales,"$55,280 ",Kaduna,Average
Anjela Spancock,Undisclosed,Accounting,"$98,010 ",Lagos,Average
Daisie McNeice,Male,Human Resources,"$50,310 ",Kaduna,Average
Jillana Gabbitis,Male,Marketing,"$91,360 ",Kaduna,Average
Roddy Speechley,Male,Accounting,"$115,920 ",Abuja,Good
Oran Buxcy,Female,Engineering,"$56,870 ",Lagos,Poor
Beverie Moffet,Female,Support,"$75,970 ",Abuja,Very Good
Novelia Pyffe,Male,Accounting,"$52,270 ",Kaduna,Good
Dare Tully,Male,Business Development,"$39,780 ",Lagos,Not Rated
Lilyan Klimpt,Male,Services,"$58,960 ",Lagos,Average
Jo-anne Gobeau,Female,Training,"$37,900 ",Abuja,Good
Sheff Gerdts,Male,Business Development,"$89,160 ",Lagos,Good
Florinda Crace,Female,Sales,"$45,510 ",Abuja,Good
Dominic Ortler,Female,Product Management,"$66,610 ",Abuja,Average
Cathrin Yanuk,Male,Sales,"$44,120 ",Lagos,Very Poor
Austine Littlewood,Female,Services,"$32,270 ",Abuja,Average
Alford Gerardi,Female,Engineering,"$37,130 ",Lagos,Not Rated
Cullie Bourcq,Female,Sales,"$45,590 ",Abuja,Good
Emanuel Beldan,Male,Accounting,"$94,070 ",Abuja,Average
Danica Nayshe,Female,Services,"$89,690 ",Kaduna,Not Rated
Hildagard Reece,Female,Services,"$41,220 ",Lagos,Average
Kai Ryder,Female,Accounting,"$119,930 ",Lagos,Average
Alfred Peplay,Female,Human Resources,"$60,580 ",Kaduna,Not Rated
Jeannie Petracco,Female,Engineering,"$94,820 ",Abuja,Average
Brad Gumb,Male,Accounting,"$38,830 ",Kaduna,Good
Bonnie Newland,Male,NULL,"$91,450 ",Abuja,Average
Reinald Franken,Female,Engineering,"$28,870 ",Abuja,Very Good
Carolyn Attack,Female,Marketing,"$70,760 ",Lagos,Good
Bogey Hitcham,Male,Product Management,"$106,170 ",Abuja,Good
Naoma Cruse,Male,Research and Development,"$71,540 ",Kaduna,Average
Oates Dinan,Female,Research and Development,"$104,680 ",Lagos,Average
Daphne Francillo,Male,Training,"$63,370 ",Lagos,Average
Kissiah Maydway,Male,Accounting,"$106,460 ",Lagos,Good
Trix Lutsch,Male,Business Development,"$106,400 ",Lagos,Average
Carolin Fieldstone,Female,Marketing,"$36,920 ",Kaduna,Average
Dulsea Folkes,Female,Services,"$42,160 ",Abuja,Average
Corabel Luberto,Female,Human Resources,"$57,820 ",Kaduna,Average
Nicola Kiely,Female,Business Development,"$93,740 ",Kaduna,Average
Rey Chartman,Female,Training,"$93,960 ",Kaduna,Poor
Israel Farndon,Male,Marketing,"$107,220 ",Lagos,Average
Felipe Parkman,Female,Training,"$90,150 ",Abuja,Very Good
Margit Kunze,Male,Engineering,"$94,020 ",Abuja,Good
Oliy Feeney,Female,Marketing,"$42,970 ",Lagos,Good
Sandie Anthonies,Male,Legal,"$33,410 ",Kaduna,Average
Anni Dinse,Male,Product Management,"$119,670 ",Lagos,Average
Gaultiero Have,Male,Accounting,"$115,380 ",Kaduna,Average
Corinna Griffiths,Male,Support,"$75,010 ",Kaduna,Good
Cherlyn Barter,Female,Accounting,"$104,120 ",Abuja,Good
Shea Mix,Male,Research and Development,"$82,680 ",Lagos,Very Poor
Leonidas Cavaney,Male,Accounting,"$52,250 ",Kaduna,Very Poor
Tallie Chaikovski,Male,Sales,"$83,190 ",Lagos,Average
Andria Kimpton,Male,Product Management,"$69,120 ",Kaduna,Average
Rik Delete,Female,Training,,Kaduna,Good
Bill Luffman,Undisclosed,NULL,"$41,570 ",Abuja,Average
Codie Gaunson,Male,Accounting,"$83,590 ",Abuja,Poor
Kaine Padly,Male,Research and Development,"$107,700 ",Abuja,Very Good
Freda Legan,Female,Sales,"$102,130 ",Kaduna,Average
Hiram Merkle,Male,Legal,"$116,090 ",Kaduna,Average
Christos Wintle,Male,Engineering,"$74,360 ",Lagos,Good
Magnum Locksley,Female,Services,"$42,310 ",Abuja,Not Rated
Adrianne Gave,Male,Engineering,"$78,440 ",Lagos,Poor
Warner Carwithan,Female,Support,"$113,760 ",Kaduna,Good
Appolonia Snook,Female,Services,"$93,880 ",Kaduna,Average
Alikee Jecock,Female,Legal,"$85,000 ",Kaduna,Poor
Shay Chasney,Male,Human Resources,"$72,550 ",Lagos,Average
Trey Jurges,Female,Legal,"$72,360 ",Kaduna,Poor
Tracy Renad,Female,Accounting,"$114,890 ",Abuja,Average
Sarajane Peachey,Female,Marketing,"$107,580 ",Abuja,Poor
Bili Sizey,Male,Research and Development,"$36,040 ",Abuja,Average
Clement Penhearow,Female,NULL,"$58,310 ",Kaduna,Average
Shaun Kyrkeman,Male,Product Management,"$35,010 ",Kaduna,Average
Leena Bruckshaw,Male,Research and Development,"$74,280 ",Lagos,Average
Benni Simounet,Male,Research and Development,"$115,790 ",Lagos,Very Poor
Kay Edling,Male,Support,"$38,330 ",Lagos,Average
Shayne Stegel,Male,Business Development,"$70,270 ",Abuja,Very Good
Floyd Cowgill,Male,Support,"$37,060 ",Kaduna,Average
William Reeveley,Male,Training,"$53,870 ",Abuja,Good
Claretta MacQuist,Male,Human Resources,,Abuja,Average
Inger Chapelhow,Female,Research and Development,"$84,310 ",Abuja,Good
Brien Boise,Female,Research and Development,"$58,100 ",Kaduna,Very Good
Pancho De Ortega,Male,Support,"$99,780 ",Kaduna,Very Good
Edd MacKnockiter,Male,Accounting,"$119,020 ",Lagos,Poor
Hobie Stockbridge,Male,Engineering,"$92,940 ",Lagos,Good
Ludovika Plaice,Male,Training,"$59,670 ",Kaduna,Not Rated
Odessa Pusill,Female,NULL,"$41,000 ",Lagos,Not Rated
Caro Hainsworth,Male,Marketing,"$77,470 ",Kaduna,Good
Nicolis Winspire,Male,Engineering,"$45,650 ",Lagos,Good
Niko MacGille,Female,Engineering,"$88,430 ",Lagos,Average
Evanne Levens,Male,Human Resources,"$36,880 ",Kaduna,Good
Trix Lutsch,Male,Business Development,"$106,400 ",Abuja,Poor
Michale Rolf,Male,Services,"$111,820 ",Lagos,Very Good
Cecilla Northen,Male,Human Resources,"$92,870 ",Abuja,Average
Cyrillus Garci,Male,Business Development,"$100,360 ",Lagos,Average
Dayle O'Luney,Female,Research and Development,"$46,750 ",Lagos,Average
Gunar Cockshoot,Male,Business Development,"$48,950 ",Abuja,Good
Silva Monte,Male,Sales,"$52,810 ",Abuja,Poor
Hans Bucke,Male,Legal,"$78,560 ",Kaduna,Very Poor
Elia Cockton,Female,Support,"$75,280 ",Kaduna,Average
Freddy Linford,Female,Training,"$93,130 ",Kaduna,Poor
Gwenore Scotchmer,Female,Business Development,"$105,290 ",Kaduna,Very Poor
Maggie Ruberti,Male,Training,"$108,340 ",Kaduna,Not Rated
Desi Peniman,Female,Legal,"$31,090 ",Kaduna,Average
Allyce Hincham,Male,Business Development,"$101,420 ",Lagos,Average
Juanita Trembey,Undisclosed,Business Development,"$54,780 ",Kaduna,Very Good
Lincoln Cord,Female,Support,"$63,560 ",Abuja,Very Good
Kerwin Blakely,Male,Research and Development,"$68,480 ",Lagos,Poor
Granny Spencelayh,Male,Legal,"$99,460 ",Abuja,Average
Collin Jagson,Male,Services,"$100,420 ",Abuja,Poor
Monti Burdus,Female,Human Resources,"$39,650 ",Abuja,Average
Konstantin Timblett,Female,Training,"$56,250 ",Abuja,Average
Fax Scotland,Female,Marketing,"$57,640 ",Abuja,Average
Isidora Guido,Male,Engineering,"$43,150 ",Abuja,Very Good
Erv Havill,Female,Accounting,"$106,080 ",Abuja,Not Rated
Yoshiko Tamblingson,Male,Sales,"$29,590 ",Kaduna,Good
Barri Teacy,Female,Accounting,"$86,240 ",Lagos,Average
Alisha Bloschke,Undisclosed,Product Management,"$36,480 ",Abuja,Average
Jerrilee Maginot,Male,Business Development,,Kaduna,Average
Adi Seawright,Female,Marketing,"$48,590 ",Kaduna,Very Poor
Eward Astlett,Male,Engineering,"$41,670 ",Lagos,Average
Chauncey Schild,Female,Support,"$107,340 ",Lagos,Very Good
Larissa Ingledow,Male,Research and Development,"$62,280 ",Kaduna,Not Rated
Orton Livick,Male,Services,"$37,920 ",Abuja,Not Rated
Jolynn Edkins,Female,Support,,Kaduna,Average
Beverie Moffet,Female,Support,"$75,970 ",Kaduna,Average
Katey Cadany,Male,Services,"$92,010 ",Abuja,Very Poor
Alida Welman,Male,Human Resources,"$69,860 ",Lagos,Poor
Nicole Blowfelde,Female,Training,"$59,560 ",Kaduna,Very Good
Kelley Rounds,Female,Engineering,"$114,810 ",Kaduna,Average
Felice McMurty,Female,Product Management,"$66,870 ",Abuja,Not Rated
Layton Kierans,Male,Human Resources,"$113,790 ",Kaduna,Very Poor
Hedwiga Ingarfield,Female,Legal,"$38,250 ",Kaduna,Average
Frasquito Mosley,Undisclosed,Support,"$48,090 ",Abuja,Not Rated
Amandy Jope,Male,Accounting,"$99,630 ",Abuja,Average
Tarrah Wordsworth,Female,Product Management,"$86,340 ",Abuja,Poor
Fairfax Wallsam,Undisclosed,Sales,"$88,590 ",Abuja,Average
Chelsea Itzak,Male,Support,"$61,100 ",Kaduna,Average
Craggie Whistlecraft,Male,Product Management,"$71,240 ",Abuja,Average
Faina Durand,Male,Sales,"$114,650 ",Kaduna,Very Poor
Joella Maevela,Female,Sales,"$76,210 ",Kaduna,Good
Virginia McConville,Female,Human Resources,"$76,900 ",Abuja,Very Good
Candy Aindrais,Female,Business Development,"$116,590 ",Lagos,Very Good
Allene Gobbet,Female,Engineering,"$78,390 ",Abuja,Average
Ruthanne Beadnell,Female,Accounting,"$103,610 ",Kaduna,Poor
Damien Netley,Male,Engineering,"$98,110 ",Abuja,Good
Rasia Fryatt,Female,Human Resources,"$33,960 ",Lagos,Not Rated
Bev Lashley,Male,Business Development,"$112,110 ",Kaduna,Not Rated
Curtice Advani,Male,Product Management,"$59,810 ",Lagos,Good
Madge McCloughen,Undisclosed,Training,"$91,310 ",Kaduna,Average
Frasier Straw,Male,Business Development,"$71,370 ",Lagos,Average
Dean Biggam,Female,Training,"$71,570 ",Abuja,Not Rated
Anni Dinse,Male,Product Management,"$119,670 ",Lagos,Not Rated
Husein Augar,Female,Marketing,"$67,910 ",Kaduna,Average
Shaylyn Ransbury,Female,Support,"$100,370 ",Abuja,Average
Christoph Stretton,Female,Business Development,"$90,240 ",Abuja,Poor
Jordain Cyster,Female,Engineering,"$75,870 ",Kaduna,Average
Malory Biles,Female,Training,"$58,740 ",Kaduna,Not Rated
Adey Ryal,Female,Legal,"$32,500 ",Lagos,Average
